tld,type,punycode,language_code,translation,romanized,rtl,sponsor,registrar,registrar_name,registrar_web,price_new,price_renew,price_transfer,currency,updated_time
cc,ccTLD,,,,,no,"eNIC Cocos (Keeling) Islands Pty.
Ltd. d/b/a Island Internet Services",cloudflare,Cloudflare,https://www.cloudflare.com/,8,8.0,8,usd,2024-11-30 21:56:07
cd,ccTLD,,,,,no,Office Congolais des Postes et Télécommunications - OCPT,quyu,趣域网,https://www.quyu.net/,315,315.0,315,cny,2025-01-01 14:47:38
center,gTLD,,,,,no,"Binky Moon, LLC",tencent,腾讯云,https://cloud.tencent.com/,48,65.0,65,cny,2024-11-01 19:20:20
ceo,gTLD,,,,,no,CEOTLD Pty Ltd,dotology,dotology,https://dotology.com/,20.99,35.99,35.99,usd,2025-01-01 14:59:45
cf,ccTLD,,,,,no,Societe Centrafricaine de Telecommunications (SOCATEL),inwx,INWX,https://www.inwx.com/,8.32,8.32,8.32,eur,2025-01-01 14:52:34
cfd,gTLD,,,,,no,DOTCFD REGISTRY LTD,dynadot,Dynadot,https://www.dynadot.com/,1.39,5.0,10.99,usd,2024-11-01 18:58:45
cg,ccTLD,,,,,no,Interpoint Switzerland,regery,Regery,https://regery.com/,299.99,299.99,4.99,usd,2024-09-11 10:54:05
ch,ccTLD,,,,,no,SWITCH The Swiss Education & Research Network,ovh,OVHcloud,https://www.ovhcloud.com/,4.99,6.49,0,eur,2024-09-01 14:41:55
channel,gTLD,,,,,no,Charleston Road Registry Inc.,porkbun,porkbun,https://porkbun.com/,0,0.0,0,usd,2025-01-01 14:55:21
charity,gTLD,,,,,no,Public Interest Registry (PIR),epik,Epik,https://www.epik.com/,14.95,14.95,14.95,usd,2024-12-03 18:51:31
chat,gTLD,,,,,no,"Binky Moon, LLC",363hk,西部数码国际,https://www.363.hk/,49,67.0,63,cny,2025-01-01 14:46:57
cheap,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,5.64,24.18,24.18,usd,2025-01-01 14:55:21
christmas,gTLD,,,,,no,XYZ.COM LLC,cloudflare,Cloudflare,https://www.cloudflare.com/,30.18,30.18,30.18,usd,2024-11-30 21:56:07
church,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,10.79,29.33,29.33,usd,2025-01-01 14:55:21
ci,ccTLD,,,,,no,Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI),quyu,趣域网,https://www.quyu.net/,120,120.0,120,cny,2025-01-01 14:47:38
city,gTLD,,,,,no,"Binky Moon, LLC",tencent,腾讯云,https://cloud.tencent.com/,48,65.0,65,cny,2024-11-01 19:20:20
ck,ccTLD,,,,,no,Telecom Cook Islands Ltd.,gandi,gandi.net,https://www.gandi.net/,225,360.0,225,eur,2025-01-01 15:04:05
cl,ccTLD,,,,,no,NIC Chile (University of Chile),sav,Sav,https://www.sav.com/,11.53,11.53,n/a,usd,2025-01-01 14:47:32
claims,gTLD,,,,,no,"Binky Moon, LLC",cloudflare,Cloudflare,https://www.cloudflare.com/,46.18,46.18,46.18,usd,2024-11-30 21:56:07
cleaning,gTLD,,,,,no,"Binky Moon, LLC",dotology,dotology,https://dotology.com/,29.99,29.99,29.99,usd,2025-01-01 14:59:45
click,gTLD,,,,,no,UNR Corp.,regery,Regery,https://regery.com/,7.99,7.99,7.99,usd,2024-09-11 10:54:05
clinic,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,10.79,43.75,43.75,usd,2025-01-01 14:55:21
